freq_hz,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.000000,1.864303,1.220941,1.126525,2.277304,1.429101,1.207800,1.575968,1.310630
0.488281,2.840836,1.969745,2.093296,3.256002,2.266636,1.947001,2.530138,2.184043
0.976562,2.098885,1.560914,1.576270,2.835640,1.812123,1.544724,1.997436,1.784933
1.464844,1.705844,1.218394,1.302187,2.421139,1.448716,1.263176,1.766530,1.529391
1.953125,1.454069,0.918804,1.031523,2.057111,1.194499,1.034921,1.527567,1.234246
2.441406,1.306787,0.713514,0.794705,1.732094,0.926559,0.808503,1.249187,1.062504
2.929688,1.193759,0.594961,0.670368,1.402877,0.841373,0.745513,1.173276,1.009693
3.417969,1.159543,0.470217,0.545484,1.182600,0.742267,0.605889,1.069235,0.815348
3.906250,1.030649,0.323003,0.391387,1.037456,0.596450,0.511647,0.964243,0.670710
4.394531,1.071978,0.271327,0.349328,0.840417,0.564616,0.553589,0.946205,0.727484
4.882812,1.131984,0.172912,0.269076,0.734205,0.470876,0.438108,0.844226,0.623793
5.371094,0.960995,0.139538,0.184178,0.667931,0.364646,0.290238,0.701936,0.553308
5.859375,0.713636,0.058745,0.179423,0.658008,0.361199,0.306633,0.731708,0.562786
6.347656,0.578570,-0.051897,0.088770,0.596872,0.252781,0.177693,0.744291,0.417841
6.835938,0.451475,-0.102670,0.000111,0.515599,0.133066,0.072311,0.654528,0.232055
7.324219,0.454452,-0.068355,-0.020001,0.470304,0.138937,0.142861,0.614098,0.303059
7.812500,0.410806,-0.021301,0.013616,0.451168,0.173479,0.195915,0.607936,0.347275
8.300781,0.399451,-0.073918,-0.003207,0.435066,0.140516,0.148138,0.512842,0.246310
8.789062,0.425789,-0.026465,-0.025711,0.321014,0.218199,0.202981,0.551477,0.308083
9.277344,0.467736,0.005853,0.018035,0.321335,0.223237,0.235089,0.528709,0.314257
9.765625,0.405879,-0.027428,0.013743,0.351880,0.181806,0.119575,0.482422,0.129226
10.253906,0.281683,-0.027720,-0.031511,0.273161,0.158086,0.101311,0.475982,0.064799
10.742188,0.270752,-0.124443,-0.118435,0.241455,0.126778,0.055460,0.422600,0.007702
11.230469,0.218737,-0.189903,-0.198607,0.221159,0.101754,0.036514,0.393520,-0.000214
11.718750,0.139372,-0.125913,-0.239063,0.158365,0.035757,0.012985,0.349724,0.011763
12.207031,0.117443,-0.069855,-0.216076,0.196727,0.048665,0.038126,0.319887,0.022414
12.695312,0.147699,-0.096589,-0.262186,0.122886,0.001108,0.013977,0.327044,0.028615
13.183594,0.132893,-0.061862,-0.258453,0.045374,-0.020416,0.010096,0.313745,0.006179
13.671875,0.136488,-0.012965,-0.210271,0.075211,0.018287,0.002785,0.322595,0.054141
14.160156,0.054817,0.049811,-0.240078,0.076729,-0.022722,-0.025708,0.318985,-0.002752
14.648438,-0.023593,-0.015286,-0.261371,0.067543,0.013501,-0.008501,0.326919,-0.025431
15.136719,-0.035698,-0.052161,-0.287873,0.005087,0.018836,0.039347,0.302781,0.020804
15.625000,-0.011901,-0.100067,-0.313486,-0.038593,-0.006401,0.047331,0.269278,-0.033966
16.113281,-0.067835,-0.196316,-0.377480,-0.093118,-0.078750,-0.046909,0.198511,-0.080887
16.601562,-0.019455,-0.209122,-0.312436,-0.015775,0.048009,0.001942,0.235534,0.004558
17.089844,-0.037525,-0.262437,-0.347213,-0.026941,0.031563,-0.010243,0.217871,-0.053191
17.578125,-0.114077,-0.352567,-0.414660,-0.100849,-0.066798,-0.089162,0.157151,-0.154998
18.066406,-0.165243,-0.315245,-0.414787,-0.129406,-0.090856,-0.046184,0.136431,-0.060664
18.554688,-0.142364,-0.356589,-0.432515,-0.087450,-0.119951,-0.020463,0.088072,-0.122862
19.042969,-0.155969,-0.342888,-0.433344,-0.081898,-0.118142,-0.047142,0.104279,-0.202451
19.531250,-0.145554,-0.284130,-0.377427,-0.140496,-0.054643,0.053460,0.121663,-0.133939
20.019531,-0.154995,-0.336850,-0.416326,-0.167065,-0.111948,-0.026605,0.074679,-0.169455
20.507812,-0.162642,-0.328878,-0.419333,-0.199089,-0.094002,-0.078389,0.057488,-0.190374
20.996094,-0.122793,-0.355141,-0.372953,-0.162458,-0.036929,-0.010538,0.077787,-0.145021
21.484375,-0.122650,-0.286263,-0.401801,-0.156280,-0.083027,-0.076778,0.069801,-0.172553
21.972656,-0.223218,-0.318429,-0.455011,-0.152756,-0.175388,-0.117785,0.046263,-0.168236
22.460938,-0.225080,-0.373778,-0.427475,-0.149924,-0.153452,-0.159375,0.019063,-0.179324
22.949219,-0.210372,-0.305919,-0.436719,-0.209655,-0.141970,-0.155803,0.017456,-0.157461
23.437500,-0.214952,-0.246135,-0.507939,-0.323215,-0.177305,-0.163054,0.016245,-0.189202
23.925781,-0.193161,-0.329392,-0.481450,-0.285600,-0.140322,-0.143609,-0.045749,-0.232655
24.414062,0.252585,-0.318306,-0.478045,-0.224218,-0.162303,-0.104050,0.205780,-0.195585
24.902344,0.621211,-0.284599,-0.434994,-0.075758,-0.073252,-0.124496,0.463657,-0.145491
25.390625,0.085314,-0.287541,-0.486602,-0.244610,-0.172497,-0.153728,0.087582,-0.208663
25.878906,-0.201535,-0.314194,-0.513249,-0.317834,-0.222309,-0.171357,0.005789,-0.180364
26.367188,-0.274688,-0.300207,-0.544248,-0.370465,-0.237734,-0.214463,0.020054,-0.206889
26.855469,-0.308537,-0.212450,-0.556450,-0.370422,-0.241643,-0.178642,-0.035021,-0.241807
27.343750,-0.343377,-0.182444,-0.533433,-0.377290,-0.306053,-0.209738,-0.114750,-0.295144
27.832031,-0.343721,-0.217309,-0.592067,-0.417857,-0.326741,-0.244904,-0.089183,-0.320240
28.320312,-0.321633,-0.216543,-0.533228,-0.356767,-0.351624,-0.204775,-0.084011,-0.311286
28.808594,-0.356538,-0.260657,-0.556326,-0.363864,-0.330372,-0.275889,-0.101838,-0.332635
29.296875,-0.380460,-0.281234,-0.542765,-0.423362,-0.249578,-0.264110,-0.122797,-0.295701
29.785156,-0.342076,-0.222319,-0.543388,-0.384940,-0.285639,-0.292315,-0.162757,-0.301338
30.273438,-0.310076,-0.225322,-0.550265,-0.345744,-0.306331,-0.254209,-0.135380,-0.288621
30.761719,-0.313555,-0.305087,-0.593687,-0.427811,-0.371676,-0.263505,-0.163946,-0.359181
31.250000,-0.103874,-0.262716,-0.561281,-0.404186,-0.311775,-0.257038,-0.058485,-0.279742
31.738281,-0.295618,-0.310731,-0.645736,-0.478929,-0.314570,-0.251800,-0.118204,-0.301584
32.226562,-0.433795,-0.353217,-0.699721,-0.525392,-0.343211,-0.269777,-0.198021,-0.369719
32.714844,-0.417078,-0.345410,-0.655232,-0.478163,-0.385591,-0.251670,-0.202428,-0.379728
33.203125,-0.381978,-0.409913,-0.629570,-0.481845,-0.332829,-0.243537,-0.197101,-0.367773
33.691406,-0.446704,-0.395617,-0.646364,-0.529114,-0.293994,-0.219834,-0.188828,-0.393003
34.179688,-0.477964,-0.447478,-0.722381,-0.567159,-0.357663,-0.259886,-0.210416,-0.420764
34.667969,-0.479526,-0.454510,-0.722790,-0.554321,-0.388597,-0.290430,-0.179267,-0.415402
35.156250,-0.454624,-0.387840,-0.668156,-0.534605,-0.306167,-0.222853,-0.218619,-0.398938
35.644531,-0.497984,-0.400112,-0.701624,-0.613203,-0.279885,-0.241077,-0.277837,-0.422589
36.132812,-0.462528,-0.421923,-0.733693,-0.594047,-0.287808,-0.260046,-0.220656,-0.464641
36.621094,-0.528602,-0.435864,-0.716834,-0.553704,-0.221703,-0.255145,-0.234360,-0.505747
37.109375,-0.510585,-0.414821,-0.679273,-0.569526,-0.197711,-0.279861,-0.229524,-0.480922
37.597656,-0.472615,-0.394779,-0.672159,-0.573708,-0.270445,-0.272863,-0.211672,-0.389727
38.085938,-0.525549,-0.410896,-0.692103,-0.609238,-0.335933,-0.307176,-0.268093,-0.444263
38.574219,-0.530326,-0.389620,-0.741947,-0.616630,-0.342690,-0.296413,-0.262071,-0.443561
39.062500,-0.513980,-0.380567,-0.749452,-0.597258,-0.248132,-0.154172,-0.286603,-0.462308
39.550781,-0.541641,-0.409771,-0.716234,-0.616655,-0.298384,-0.213956,-0.279487,-0.478739
40.039062,-0.573139,-0.358149,-0.719093,-0.650284,-0.329554,-0.246118,-0.287372,-0.458595
