freq_hz,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
28.808594,-12.081054,-12.004665,-11.974083,-11.986670,-11.949795,-11.987792,-11.941296,-12.578453
29.296875,-12.081737,-12.011482,-11.982016,-12.001771,-11.950288,-11.981134,-11.933824,-12.529242
29.785156,-12.139202,-12.059562,-12.023151,-12.041475,-11.973925,-12.027634,-11.977164,-12.600779
30.273438,-12.146732,-12.059002,-12.017090,-12.040874,-11.970733,-12.039459,-11.996778,-12.640729
30.761719,-12.136815,-12.046895,-12.007787,-12.036518,-12.000120,-12.029224,-11.988258,-12.576449
31.250000,-12.167941,-12.080776,-12.044348,-12.058550,-12.022344,-12.051018,-12.007943,-12.571621
31.738281,-12.179955,-12.099452,-12.068640,-12.074125,-12.008019,-12.086245,-12.035327,-12.619009
32.226562,-12.185187,-12.105925,-12.068648,-12.065102,-12.015080,-12.089568,-11.988386,-12.599768
32.714844,-12.179297,-12.111717,-12.078713,-12.065924,-12.043186,-12.080978,-12.021684,-12.571533
33.203125,-12.190410,-12.106006,-12.076982,-12.074754,-12.038046,-12.066636,-12.017035,-12.592644
33.691406,-12.210258,-12.129656,-12.094868,-12.088429,-12.028899,-12.086298,-12.050557,-12.604651
34.179688,-12.211073,-12.135729,-12.101209,-12.095307,-12.016553,-12.093580,-12.066746,-12.586091
34.667969,-12.204435,-12.126007,-12.098417,-12.080066,-12.027613,-12.078176,-12.074890,-12.605932
35.156250,-12.236375,-12.152083,-12.103985,-12.097447,-12.081432,-12.112652,-12.103530,-12.636059
35.644531,-12.202407,-12.122001,-12.073442,-12.063755,-12.052628,-12.097601,-12.050296,-12.592169
36.132812,-12.201488,-12.133228,-12.094502,-12.069717,-12.053149,-12.096151,-12.078712,-12.582986
36.621094,-12.204870,-12.133484,-12.100887,-12.073074,-12.045786,-12.088744,-12.075129,-12.600132
37.109375,-12.224891,-12.140337,-12.118420,-12.113089,-12.089162,-12.102149,-12.073681,-12.650341
37.597656,-12.216173,-12.145751,-12.120042,-12.130729,-12.101218,-12.129669,-12.099050,-12.654346
38.085938,-12.211003,-12.159360,-12.117488,-12.140615,-12.102893,-12.133024,-12.108464,-12.629773
38.574219,-12.211942,-12.155826,-12.116379,-12.142491,-12.095851,-12.121674,-12.105210,-12.595780
39.062500,-12.220570,-12.147031,-12.134540,-12.148360,-12.103745,-12.105441,-12.093402,-12.584554
39.550781,-12.200802,-12.129241,-12.119611,-12.136832,-12.117228,-12.108352,-12.091857,-12.556441
40.039062,-12.226028,-12.166791,-12.128290,-12.167095,-12.148069,-12.151777,-12.117058,-12.596768
40.527344,-12.293878,-12.215830,-12.165045,-12.200799,-12.171539,-12.187386,-12.158772,-12.665343
41.015625,-12.297185,-12.218551,-12.191007,-12.207386,-12.164137,-12.193157,-12.138267,-12.640551
41.503906,-12.255256,-12.178904,-12.160600,-12.188789,-12.143736,-12.170637,-12.063506,-12.609705
41.992188,-12.297212,-12.217972,-12.204840,-12.228223,-12.185041,-12.210029,-12.140068,-12.667530
42.480469,-12.349185,-12.270448,-12.256012,-12.255152,-12.226775,-12.248463,-12.242339,-12.721387
42.968750,-12.353956,-12.282144,-12.253461,-12.248661,-12.234489,-12.250604,-12.237259,-12.732205
43.457031,-12.302467,-12.231811,-12.195436,-12.205732,-12.188624,-12.214774,-12.187749,-12.666011
43.945312,-12.268609,-12.216118,-12.181690,-12.210242,-12.176392,-12.190750,-12.162849,-12.646011
44.433594,-12.299283,-12.238185,-12.215211,-12.240038,-12.210828,-12.203562,-12.147414,-12.654833
44.921875,-12.308027,-12.242464,-12.217926,-12.247712,-12.214091,-12.222453,-12.165031,-12.638942
45.410156,-12.285621,-12.221155,-12.201781,-12.213951,-12.177380,-12.214205,-12.179916,-12.629763
45.898438,-12.319769,-12.242641,-12.220011,-12.236139,-12.200351,-12.232963,-12.205616,-12.691553
46.386719,-12.270381,-12.204582,-12.183296,-12.237252,-12.169438,-12.185618,-12.140961,-12.642245
46.875000,-12.228447,-12.168636,-12.154784,-12.193601,-12.125335,-12.153920,-12.108309,-12.578117
47.363281,-12.285180,-12.223572,-12.208747,-12.230582,-12.159522,-12.221089,-12.160121,-12.635308
47.851562,-12.372278,-12.319675,-12.288779,-12.292972,-12.258187,-12.310145,-12.256607,-12.743571
48.339844,-12.351630,-12.290825,-12.257103,-12.286581,-12.234577,-12.259547,-12.229548,-12.680657
48.828125,-12.319023,-12.256211,-12.231522,-12.274865,-12.179856,-12.215207,-12.152068,-12.616009
49.316406,-12.216702,-12.168936,-12.129218,-12.187891,-12.092461,-12.139030,-12.063367,-12.535902
49.804688,-12.154518,-12.099283,-12.055886,-12.101750,-12.045920,-12.082035,-12.032500,-12.489093
